法務部矯正署,位置,單位,區域
法務部矯正署臺北監獄,台北,監獄,北
法務部矯正署桃園監獄,桃園,監獄,北
法務部矯正署桃園女子監獄,桃園,監獄,北
法務部矯正署新竹監獄,新竹,監獄,北
法務部矯正署臺中監獄,台中,監獄,中
法務部矯正署臺中女子監獄,台中,監獄,中
法務部矯正署彰化監獄,彰化,監獄,中
法務部矯正署雲林監獄,雲林,監獄,中
法務部矯正署雲林第二監獄,雲林,監獄,中
法務部矯正署嘉義監獄,嘉義,監獄,南
法務部矯正署臺南監獄,台南,監獄,南
法務部矯正署臺南第二監獄,台南,監獄,南
法務部矯正署高雄監獄,高雄,監獄,南
法務部矯正署高雄第二監獄,高雄,監獄,南
法務部矯正署高雄女子監獄,高雄,監獄,南
法務部矯正署屏東監獄,屏東,監獄,南
法務部矯正署宜蘭監獄,宜蘭,監獄,東
法務部矯正署花蓮監獄,花蓮,監獄,東
法務部矯正署臺東監獄,台東,監獄,東
法務部矯正署八德外役監獄,桃園,外役監,北
法務部矯正署臺中男子監獄外役分監,台中,外役監,中
法務部矯正署臺中女子監獄外役分監,台中,外役監,中
法務部矯正署明德外役監獄,台南,外役監,南
法務部矯正署自強外役監獄,花蓮,外役監,東
法務部矯正署臺北看守所,台北,看守所,北
法務部矯正署臺北女子看守所,台北,看守所,北
法務部矯正署新竹看守所,新竹,看守所,北
法務部矯正署苗栗看守所,苗栗,看守所,中
法務部矯正署臺中看守所,台中,看守所,中
法務部矯正署彰化看守所,彰化,看守所,中
法務部矯正署南投看守所,南投,看守所,中
法務部矯正署嘉義看守所,嘉義,看守所,南
法務部矯正署臺南看守所,台南,看守所,南
法務部矯正署屏東看守所,屏東,看守所,南
法務部矯正署花蓮看守所,花蓮,看守所,東
法務部矯正署台東戒治所,台東,戒治所,東
法務部矯正署新店戒治所,新北,戒治所,北
法務部矯正署臺中戒治所,台中,戒治所,中
法務部矯正署高雄戒治所,高雄,戒治所,南
法務部矯正署岩灣技能訓練所,台東,技能訓練所,東
法務部矯正署東成技能訓練所,台東,技能訓練所,東
法務部矯正署泰源技能訓練所,台東,技能訓練所,東
